rank,Name,
1,Brazil,
2,Argentina,
3,France,
4,Belgium,
5,England,
6,Netherlands,
7,Croatia,
8,Italy,
9,Portugal,
10,Spain,
11,Morocco,
12,Switzerland,
13,USA,
14,Germany,
15,Mexico,
16,Uruguay,
17,Colombia,
18,Denmark,
19,Senegal,
20,Japan,
21,Peru,
22,Poland,
23,Sweden,
24,Iran,
25,Korea Republic,
26,Ukraine,
27,Australia,
28,Wales,
29,Serbia,
30,Tunisla,
31,Chile,
32,Costa Rica,
33,Cameroon,
34,Austria,
35,Nigeria,
36,Hungary,
37,Russia,
38,Czechia,
39,Egypt,
40,Algeria,
41,Ecuador,
42,Scotland,
43,Norway,
44,Turkiye,
45,Mali,
46,Paraguay,
47,Cote d'Iviore,
48,Republic of Ireland,
49,Saudi Arabia,
50,Burkina Faso,
51,Greece,
52,Romania,
53,Canada,
54,Slovakia,
55,Venezuela,
56,Finland,
57,Bosnia and Herzegovina,
58,Ghana,
59,Northern Ireland,
60,Qatar,
61,Panama,
62,Slovenia,
63,Iceland,
64,Jamaica,
65,North Macedonia,
66,Albania,
67,South Africa,
68,Iraq,
69,Montengro,
70,United Arab Emirates,
71,Bulgaria,
72,Cabo Verde,
73,Congo DR,
74,El Salvador,
75,Oman,
76,Israel,
77,Uzbekistan,
78,Georgia,
79,Gabon,
80,China PR,
81,Honduras,
82,Bolivia,
83,Guinea,
84,Jordan,
85,Bahrain,
86,Curacao,
87,Haiti,
88,Zambia,
89,Uganda,
90,Syria,
91,Benin,
92,Luxembourg,
93,Palestine,
94,Kyrgyz Republic,
95,Armenia,
96,Vietnam,
97,Belarus,
98,Equatorial Guinea,
99,Congo   ,
100,Lebanon,
,,
