rank,Name
1,Argentina
2,France
3,Belgium
4,England
5,Brazil
6,Portugal
7,Netherlands
8,Spain
9,Italy
10,Croatia
11,USA
12,Colombia
13,Morocco
14,Mexico
15,Uruguay
16,Germany
17,Senegal
18,Japan
19,Switzerland
20,Iran
21,Denmark
22,Ukraine
23,Korea Republic
24,Australia
25,Austria
26,Hungary
27,Sweden
28,Poland
29,Wales
30,Nigeria
31,Ecuador
32,Peru
33,Serbia
34,Qatar
35,Russia
36,Czechia
37,Egypt
38,Cote d'Ivoire
39,Scotland
40,Turkiye
41,Tunisia
42,Chile
43,Algeria
44,Mali
45,Panama
46,Romania
47,Norway
48,Slovakia
49,Canada
50,Greece
51,Cameroon
52,Costa Rica
53,Saudi Arabia
54,Venezuela
55,Jamaica
56,Paraguay
57,Slovenia
58,Iraq
59,South Africa
60,Republic of Ireland
61,Finland
62,Burkina Faso
63,Congo DR
64,Uzbekistan
65,Cabo Verde
66,Albania
67,United Arab Emirates
68,Ghana
69,North Macedonia
70,Montenegro
71,Jordan
72,Iceland
73,Northern Ireland
74,Bosnia and Herzegovina
75,Georgia
76,Guinea
77,Oman
78,Israel
79,Equatorial Guinea
80,Bahrain
81,El Salvador
82,Honduras
83,Bulgaria
84,Gabon
85,Boliva
86,Zambia
87,Luxenbourg
88,China PR
89,Syria
90,Haiti
91,Curacao
92,Uganda
93,Palestine
94,Angola
95,Armenia
96,Belarus
97,Trinidad and Tobago
98,Tajikistan
99,Kyrgyz Republic
100,Thailand
